ID_Client,Age,Revenu_Mensuel,Montant_Credit,Duree_Credit,Taux_Interet,Historique_Credit,Nombre_Credits_En_Cours,Endettement,Type_Emploi,Region,Defaut_Paiement
71,45,155176,933921,55,13.92,2,1,0.73,Indépendant,Rosso,0
72,73,197050,112868,44,11.05,2,4,0.65,CDD,Atar,0
73,51,302504,72979,17,11.12,1,3,0.53,Indépendant,Atar,0
74,73,62847,649384,28,5.72,1,0,0.26,Indépendant,Kiffa,1
75,69,111714,216038,19,4.17,1,0,0.72,CDI,Nouakchott,0
76,52,14206,355827,24,6.6,1,3,0.69,CDI,Nouakchott,1
77,53,220605,301339,40,4.09,1,4,0.8,CDI,Nouakchott,0
78,23,161036,482559,43,12.6,0,3,0.26,Sans emploi,Kiffa,0
79,67,156948,215694,50,5.82,0,1,0.79,CDD,Nouakchott,0
80,67,377023,370488,36,4.63,1,1,0.87,CDI,Nouadhibou,0
81,70,199535,72766,8,14.96,2,0,0.14,CDI,Rosso,0
82,72,454583,950328,45,5.59,1,1,0.36,CDI,Kiffa,0
83,74,277394,635980,15,6.47,1,2,0.56,CDD,Nouadhibou,0
84,27,315402,696603,39,10.47,0,3,0.8,Indépendant,Rosso,0
85,71,427060,517498,54,12.66,1,3,0.67,Indépendant,Kiffa,0
86,27,214751,654035,26,10.85,1,0,0.87,CDI,Nouakchott,0
87,62,163604,520811,52,10.26,2,2,0.13,CDI,Kiffa,0
88,72,30703,858954,48,7.96,1,3,0.39,Indépendant,Rosso,0
89,50,273398,469774,48,8.32,1,2,0.86,CDI,Rosso,0
90,37,100730,917768,6,7.05,2,0,0.49,CDI,Atar,0
91,57,58130,837223,20,4.47,1,1,0.79,CDI,Rosso,0
92,51,231889,43411,13,3.75,1,4,0.33,CDD,Nouadhibou,0
93,73,276509,657934,11,9.11,0,2,0.94,CDI,Atar,0
94,51,175070,146634,23,14.71,1,4,0.57,CDI,Nouakchott,0
95,50,430616,508595,31,6.24,0,3,0.2,CDI,Nouakchott,0
96,44,395112,702094,21,12.58,1,0,0.76,CDI,Zouerate,0
97,52,345762,209475,12,7.07,2,0,0.69,Indépendant,Nouadhibou,0
98,55,488942,215695,25,12.31,1,0,0.08,CDI,Kiffa,0
99,38,490740,823116,22,12.43,0,1,0.55,CDI,Rosso,0
100,62,212172,815124,35,7.54,1,0,0.54,CDI,Nouadhibou,0
101,39,153932,371549,32,7.7,0,0,0.74,CDI,Zouerate,0
102,22,486383,771578,20,7.9,1,1,0.05,Indépendant,Rosso,0
103,54,66284,307693,53,13.44,0,2,0.56,CDD,Kiffa,0
104,61,480486,781701,57,3.73,0,2,0.17,Indépendant,Nouakchott,0
105,45,43294,431660,39,6.57,1,4,0.28,CDI,Atar,0
106,36,228130,145235,56,8.94,2,2,0.41,Sans emploi,Atar,0
107,56,418235,757494,40,13.41,0,3,0.56,CDI,Atar,0
108,49,106827,341412,14,3.98,1,4,0.33,CDD,Nouakchott,0
109,62,374429,257076,36,4.09,2,0,0.75,CDI,Zouerate,0
110,37,361775,718089,17,4.78,2,4,0.25,CDD,Atar,0
111,69,291709,135309,34,12.45,1,3,0.35,CDI,Zouerate,0
112,40,454596,974102,7,5.28,1,1,0.78,CDI,Rosso,0
113,25,159646,653242,7,13.32,1,0,0.74,Indépendant,Kiffa,0
114,70,164322,311407,57,4.49,1,0,0.13,CDI,Nouakchott,0
115,46,369123,248861,25,8.13,1,0,0.49,CDI,Zouerate,1
116,69,261211,678796,30,12.53,2,2,0.8,CDI,Zouerate,0
117,49,97041,821690,58,12.34,0,2,0.96,Indépendant,Nouadhibou,0
118,64,164463,198378,42,12.49,1,4,0.57,CDI,Nouakchott,0
119,35,127364,85870,43,10.38,1,1,0.84,CDI,Nouakchott,0
120,65,38940,87784,28,3.44,1,2,0.92,CDI,Zouerate,0
121,25,315182,910612,46,10.6,1,1,0.74,Sans emploi,Zouerate,0
122,30,11175,769080,6,9.81,1,3,0.76,Sans emploi,Zouerate,0
123,49,101001,498873,23,12.6,1,3,0.22,CDI,Zouerate,0
124,48,366656,138328,37,12.06,0,3,0.34,CDI,Kiffa,0
125,70,415913,750546,11,8.79,1,1,0.42,Indépendant,Nouakchott,0
126,33,153817,629842,42,5.75,1,2,0.15,CDI,Nouakchott,0
127,21,474027,554793,48,8.17,0,1,0.8,CDI,Nouadhibou,1
128,65,281908,141811,34,7.98,0,4,0.2,CDI,Rosso,1
129,66,322946,298189,8,12.85,1,4,0.57,CDD,Nouakchott,0
130,43,349587,682594,50,5.99,1,2,0.17,CDI,Nouakchott,0
131,49,338896,956415,34,8.24,1,1,0.42,CDI,Zouerate,0
132,29,317907,773844,54,9.04,1,1,0.09,Indépendant,Zouerate,0
133,70,412688,889854,19,11.41,1,2,0.53,Sans emploi,Nouakchott,0
134,62,498025,881661,6,3.41,1,4,0.01,CDI,Zouerate,0
135,61,322110,10388,21,8.18,1,1,0.63,CDD,Atar,0
136,38,131119,985225,55,4.08,2,2,0.45,CDI,Zouerate,0
137,54,138259,394118,28,6.17,2,3,0.29,CDD,Nouakchott,0
138,55,377729,642188,20,9.62,1,4,0.94,CDI,Atar,0
139,32,456531,811812,52,14.94,1,0,0.33,CDD,Rosso,0
140,58,74625,310243,16,5.47,1,2,0.23,CDI,Nouadhibou,1
141,35,246720,906117,40,8.44,0,2,0.05,CDI,Nouadhibou,0
142,61,190156,635170,15,12.14,1,4,0.34,CDI,Nouakchott,0
143,23,102567,543530,12,5.84,1,3,0.07,CDI,Nouakchott,0
144,47,363510,539004,52,4.27,1,2,0.02,CDI,Kiffa,0
145,64,120710,667892,35,11.57,2,4,0.77,CDD,Rosso,0
146,44,190962,461071,45,10.57,2,2,0.3,Indépendant,Kiffa,0
147,52,411579,21630,50,6.64,1,1,0.91,CDD,Kiffa,0
148,74,373875,819525,18,7.99,0,4,0.84,CDD,Zouerate,0
149,69,307377,926355,28,10.82,1,1,0.16,CDI,Nouakchott,0
150,48,96675,726630,52,13.71,2,0,0.02,CDD,Atar,0
151,66,320131,197492,30,12.59,2,4,0.96,CDI,Kiffa,0
152,66,499251,396968,42,5.18,0,2,0.31,Sans emploi,Kiffa,0
153,55,73085,497611,39,6.37,1,4,0.66,CDI,Rosso,0
154,49,226743,943552,34,11.94,1,4,0.01,CDD,Nouakchott,0
155,40,337728,584151,40,12.69,1,0,0.41,CDI,Nouakchott,0
156,53,247658,422712,43,7.77,2,2,0.89,Sans emploi,Rosso,0
157,48,158438,696573,29,14.44,0,2,0.88,Indépendant,Zouerate,0
158,61,354959,119674,46,5.46,0,1,0.1,CDI,Zouerate,0
159,46,66142,684605,41,3.28,0,2,0.17,CDD,Nouakchott,0
160,32,465201,685399,54,6.75,1,1,0.39,Sans emploi,Nouadhibou,1
161,20,97906,742699,38,7.24,1,4,0.39,CDD,Nouakchott,0
162,34,316952,845972,58,13.34,1,1,0.51,CDI,Kiffa,0
163,27,219364,44047,55,3.07,0,4,0.5,CDI,Kiffa,0
164,28,302291,15315,21,11.19,2,1,0.54,Indépendant,Kiffa,0
165,45,325662,309583,32,14.58,0,0,0.96,CDD,Nouakchott,0
166,28,159428,13861,10,12.35,1,0,0.16,CDD,Nouakchott,1
167,65,399304,921371,43,9.26,1,3,0.41,CDI,Rosso,1
168,74,390560,342215,10,13.75,1,4,0.64,Indépendant,Kiffa,0
169,21,359033,326530,18,5.05,1,4,0.65,CDI,Kiffa,0
170,51,210101,906399,48,8.82,2,1,0.82,CDD,Atar,0
171,45,35310,706684,28,11.42,2,2,0.23,CDI,Atar,0
172,50,448496,166798,44,3.29,0,1,0.37,Indépendant,Rosso,0
173,57,203086,744299,46,6.81,1,0,0.43,CDI,Nouadhibou,0
174,19,183088,536998,40,11.97,1,4,0.93,Sans emploi,Atar,0
175,24,281411,846494,46,9.1,2,4,0.94,CDI,Kiffa,0
176,43,269192,70431,13,12.49,1,2,0.45,CDI,Nouakchott,1
177,40,5196,299094,24,14.83,0,3,0.73,CDD,Atar,0
178,35,375023,854314,30,3.84,1,4,0.19,CDI,Zouerate,0
179,39,212805,42131,11,8.36,0,0,0.63,CDD,Nouakchott,0
180,27,414956,266334,7,3.02,1,2,0.89,CDI,Zouerate,0
181,59,82417,860065,15,12.64,1,3,0.18,CDI,Nouakchott,0
182,21,480435,823922,42,8.13,0,1,0.86,CDI,Atar,1
183,73,351993,671015,41,5.43,2,1,0.85,Indépendant,Zouerate,1
184,21,264751,21249,15,8.0,2,4,0.58,CDI,Nouadhibou,1
185,71,425490,200667,46,13.38,2,0,0.14,CDI,Nouadhibou,0
186,44,178034,917351,55,12.44,1,3,0.07,CDD,Zouerate,0
187,55,351281,470405,21,4.86,1,3,0.51,CDD,Nouakchott,0
188,53,305900,648739,31,3.59,1,4,0.01,CDI,Kiffa,1
189,26,210136,156401,16,7.03,2,2,0.37,Indépendant,Zouerate,1
190,48,127909,58184,7,12.5,1,2,0.85,Indépendant,Nouadhibou,0
191,73,314928,754721,59,8.95,1,0,0.61,Sans emploi,Zouerate,0
192,22,380242,721789,53,9.35,2,1,0.88,Indépendant,Kiffa,0
193,47,209628,700027,39,12.61,1,1,0.37,CDI,Rosso,1
194,43,325898,881836,19,8.72,1,4,0.02,CDD,Kiffa,0
195,34,369652,799565,29,14.26,1,1,0.18,CDD,Nouadhibou,0
196,74,60315,380894,32,10.71,2,0,0.29,CDI,Atar,0
197,18,30706,450696,36,9.49,1,0,0.67,Indépendant,Atar,0
198,37,130630,802587,59,4.81,0,0,0.58,CDI,Atar,0
199,31,289843,83763,54,5.88,1,3,0.02,CDI,Nouakchott,0
200,40,391998,658053,31,9.5,1,1,0.64,CDI,Atar,0
201,51,113260,470412,33,14.08,1,0,0.86,Sans emploi,Atar,0
202,69,277747,97523,57,11.26,0,0,0.24,Indépendant,Rosso,0
203,72,407100,250316,39,8.19,1,0,0.85,Indépendant,Atar,0
204,34,196221,322935,59,5.93,1,2,0.25,CDI,Atar,0
205,48,327817,703634,7,12.58,1,2,0.95,CDI,Kiffa,0
206,25,269272,31464,34,5.26,1,0,0.39,Indépendant,Nouadhibou,0
207,57,269466,870402,42,9.22,2,0,0.84,CDI,Kiffa,0
208,73,19088,499841,30,12.82,2,0,0.41,CDI,Nouakchott,0
209,48,138675,241334,6,10.13,2,0,0.45,Sans emploi,Nouakchott,0
210,26,481049,798582,27,8.65,1,3,0.97,Sans emploi,Nouadhibou,0
211,23,368530,192408,58,4.13,1,3,0.79,CDI,Nouadhibou,0
212,19,68429,55929,57,10.69,2,2,0.59,CDI,Rosso,0
213,60,162525,129826,49,4.09,2,1,0.19,Indépendant,Nouadhibou,1
214,69,288319,703763,40,13.14,2,1,0.15,CDD,Kiffa,1
215,55,99190,739392,32,8.99,1,3,0.85,CDD,Atar,1
216,20,456478,809354,58,4.48,2,2,0.01,CDI,Atar,1
217,26,462406,254203,14,11.57,2,2,0.81,CDI,Nouadhibou,1
218,52,463544,973467,12,3.88,1,0,0.8,CDI,Kiffa,0
219,72,147007,267251,22,3.74,2,1,0.55,Indépendant,Atar,0
220,45,112822,400184,31,7.58,0,3,0.4,CDI,Nouadhibou,0
221,64,206576,459481,55,9.18,0,1,0.48,CDI,Zouerate,1
222,22,229259,17067,14,7.92,1,0,0.05,CDI,Zouerate,0
223,52,159853,914416,30,11.71,1,1,0.95,Indépendant,Zouerate,0
224,59,492174,541642,36,12.44,0,3,0.98,CDI,Nouadhibou,0
225,46,248682,929370,32,7.9,2,1,0.6,CDI,Zouerate,1
226,38,428457,817450,50,12.04,1,4,0.25,CDI,Rosso,0
227,27,491575,168521,57,12.55,1,1,0.96,CDI,Rosso,0
228,28,319701,517231,13,5.53,1,3,0.86,Sans emploi,Kiffa,1
229,57,288026,783881,28,14.63,0,0,0.41,Indépendant,Nouadhibou,0
230,40,103136,167114,38,5.24,0,3,0.75,CDI,Rosso,1
231,37,184247,656929,26,7.58,1,1,0.19,CDI,Zouerate,0
232,74,27602,43845,32,9.31,0,0,0.18,Indépendant,Atar,0
233,51,428598,236779,44,4.26,1,4,0.77,CDI,Nouadhibou,0
234,37,374741,290858,14,3.73,1,0,0.63,CDI,Kiffa,0
235,20,95257,142336,26,4.44,1,0,0.77,Indépendant,Rosso,0
236,25,51265,356493,14,14.77,1,1,0.09,CDD,Nouakchott,0
237,74,10570,567761,38,12.15,1,2,0.26,CDI,Zouerate,0
238,64,458695,598780,10,5.56,1,1,0.62,Indépendant,Atar,1
239,54,439156,441639,55,4.22,2,0,0.29,CDI,Kiffa,0
240,54,279711,611578,29,12.44,1,4,0.1,CDI,Zouerate,0
241,22,199416,303299,7,6.55,0,3,0.05,Sans emploi,Nouakchott,0
242,24,371637,747753,10,9.17,0,4,0.91,Indépendant,Kiffa,1
243,66,119930,18570,58,7.24,1,0,0.27,CDD,Atar,0
244,45,61101,798109,59,12.9,1,1,0.84,CDD,Nouadhibou,0
245,66,150424,535499,52,8.74,1,3,0.33,Sans emploi,Rosso,0
246,67,21989,573369,53,14.19,0,1,0.6,CDI,Rosso,0
247,57,232773,951282,31,10.54,0,2,0.74,CDI,Nouadhibou,0
248,70,208459,329375,30,5.99,2,2,0.67,CDD,Rosso,0
249,59,437918,72341,52,14.61,0,3,0.56,Indépendant,Nouadhibou,1
250,20,386020,975972,20,4.77,0,0,0.25,CDI,Nouadhibou,0
251,43,256435,227734,40,7.01,2,3,0.78,Indépendant,Kiffa,0
252,38,206117,229890,7,14.47,1,2,0.59,CDD,Rosso,0
253,20,243120,887858,13,12.2,2,1,0.62,Indépendant,Zouerate,0
254,22,365457,913795,11,7.98,2,4,0.66,CDI,Rosso,0
255,49,185180,25460,35,5.75,1,3,0.92,Indépendant,Nouakchott,0
256,63,112109,236735,42,7.03,1,0,0.26,CDD,Kiffa,0
257,73,176386,308545,8,14.97,0,2,0.7,CDD,Nouadhibou,0
258,56,113480,689456,50,11.85,2,3,0.76,CDI,Rosso,0
259,69,167220,271307,6,11.53,1,4,0.14,CDI,Atar,0
260,27,328095,387687,42,8.14,2,1,0.66,CDI,Kiffa,1
261,36,186223,789378,7,13.26,1,4,0.17,CDI,Nouakchott,0
262,52,320986,710064,28,10.68,1,1,0.73,CDI,Nouadhibou,0
263,49,104467,287036,14,10.11,2,3,0.87,Sans emploi,Nouadhibou,0
264,27,405627,957124,54,13.62,1,2,0.93,CDD,Rosso,0
265,20,281187,402522,20,14.25,0,4,0.57,Sans emploi,Kiffa,1
266,33,496542,476041,41,6.7,1,3,0.46,CDI,Nouadhibou,0
267,58,267815,808068,22,14.48,1,1,0.49,CDI,Rosso,0
268,40,346327,203931,52,13.03,2,2,0.52,CDI,Nouadhibou,0
269,30,51970,456429,46,4.11,2,3,0.88,Indépendant,Atar,0
270,43,181591,468502,21,6.71,1,1,0.78,Indépendant,Nouakchott,0
271,68,485065,903062,14,6.0,1,2,0.45,Indépendant,Rosso,0
272,32,126970,913240,31,9.82,1,4,0.5,Indépendant,Rosso,0
273,56,128116,639327,17,8.33,1,0,0.39,CDD,Rosso,0
274,27,105738,592405,13,3.04,1,3,0.02,CDD,Rosso,0
275,21,116779,896077,15,7.98,2,2,0.2,CDI,Nouadhibou,0
276,69,141858,366679,33,7.85,1,4,0.31,Indépendant,Nouadhibou,0
277,66,213659,171299,41,6.9,1,3,0.88,CDI,Kiffa,0
278,34,290986,804572,32,8.53,1,2,0.22,CDI,Zouerate,0
279,59,73122,460529,49,14.14,0,4,0.57,CDD,Kiffa,0
280,47,187304,497571,34,3.78,1,2,0.33,CDI,Atar,0
281,56,132772,444084,18,12.12,1,1,0.65,CDI,Atar,0
282,41,209429,520227,50,12.46,1,3,0.21,CDI,Zouerate,0
283,37,111228,99945,58,6.91,2,3,0.74,CDI,Nouadhibou,0
284,54,398209,142832,12,13.85,0,1,0.56,CDI,Kiffa,0
285,24,361457,607941,48,11.26,0,0,0.21,CDD,Nouakchott,0
286,37,279118,899738,24,13.71,2,1,0.81,CDD,Atar,0
287,18,21201,244845,39,3.19,1,2,0.63,CDI,Rosso,0
288,28,18753,118736,29,5.61,1,2,0.76,CDD,Nouakchott,0
289,56,427286,540175,59,14.95,1,3,0.12,CDI,Kiffa,0
290,40,206546,483680,45,14.6,2,2,0.01,Indépendant,Kiffa,0
291,42,254495,994377,30,12.91,1,1,0.82,CDD,Atar,0
292,59,276966,651956,8,3.28,0,3,0.93,CDI,Atar,0
293,55,275236,647918,35,9.76,2,0,0.9,CDI,Nouakchott,1
294,38,460609,362842,20,13.39,2,4,0.99,CDI,Rosso,0
295,68,328886,736254,16,5.6,1,3,0.19,Sans emploi,Rosso,1
296,21,498947,58996,14,7.98,2,0,0.39,CDI,Atar,0
297,30,351314,912307,31,10.33,1,4,0.84,CDD,Nouadhibou,0
298,59,399714,517460,14,11.1,0,0,0.36,Sans emploi,Nouadhibou,0
299,26,314335,308208,42,12.33,0,1,0.57,CDI,Nouadhibou,0
300,25,444953,78410,7,11.58,2,3,0.04,Sans emploi,Atar,0
301,29,99430,675000,38,9.24,0,4,0.62,Sans emploi,Kiffa,0
302,27,242169,870394,51,14.25,2,4,0.26,CDI,Rosso,1
303,32,101538,397188,10,10.45,1,1,0.48,Sans emploi,Atar,0
304,51,379734,633392,45,5.65,0,0,0.38,Sans emploi,Kiffa,0
305,56,307840,257552,6,12.97,0,2,0.63,CDI,Rosso,0
306,24,422138,591870,35,8.82,2,0,0.89,CDI,Kiffa,0
307,36,212969,364652,7,10.45,2,4,0.83,CDI,Zouerate,1
308,34,487683,766035,32,8.83,1,4,0.08,Indépendant,Kiffa,0
309,61,388162,26096,36,8.21,0,3,0.45,CDD,Nouadhibou,0
310,19,45377,56402,28,13.04,1,2,0.92,CDD,Nouadhibou,0
311,60,194001,167843,24,12.4,1,1,0.25,Sans emploi,Kiffa,0
312,29,307060,744260,55,11.73,2,2,0.99,CDD,Atar,0
313,27,135349,546629,50,4.62,1,0,0.17,CDI,Zouerate,0
314,73,356550,806995,53,9.88,2,4,0.4,CDI,Nouadhibou,0
315,57,391384,890607,58,5.24,1,1,0.61,CDI,Nouakchott,0
316,24,321482,143851,47,5.61,2,1,0.67,Sans emploi,Zouerate,0
317,50,402260,834696,12,14.78,2,4,0.64,CDD,Nouadhibou,1
318,18,131262,760752,7,3.32,2,3,0.08,CDI,Atar,0
319,29,309002,611341,18,12.05,1,4,0.79,Indépendant,Nouadhibou,0
320,47,442056,854228,14,9.39,1,4,0.41,CDI,Rosso,0
321,27,444888,650841,6,5.94,0,4,0.15,CDI,Kiffa,0
322,44,263577,308412,18,4.41,0,2,0.32,Indépendant,Zouerate,0
323,30,414339,543565,45,3.12,1,0,0.39,Indépendant,Kiffa,0
324,32,331673,136283,21,13.75,1,4,0.48,Indépendant,Rosso,0
325,51,150886,830653,52,13.18,1,0,0.73,CDI,Kiffa,0
326,29,232741,173782,58,8.34,2,4,0.55,Indépendant,Kiffa,0
327,48,227056,837915,49,9.6,1,0,0.3,Indépendant,Nouakchott,0
328,72,294942,745071,6,11.34,1,2,0.33,CDI,Nouadhibou,0
329,62,104935,556412,28,11.77,0,1,0.83,Indépendant,Zouerate,0
330,60,97385,216177,21,14.34,1,3,0.65,CDI,Zouerate,0
331,58,400282,168535,24,6.98,2,3,0.25,CDI,Atar,0
332,73,488646,18894,9,13.08,0,3,0.65,CDI,Nouakchott,0
333,69,363550,48437,53,3.08,1,4,0.56,Sans emploi,Atar,1
334,68,292625,88828,32,3.83,0,2,0.53,Sans emploi,Zouerate,0
335,69,146770,579307,52,4.28,0,0,0.59,CDI,Atar,0
336,21,250764,649392,8,11.26,1,3,0.87,CDI,Nouadhibou,0
337,33,455813,637518,22,9.18,2,3,0.83,CDI,Rosso,0
338,28,135874,442571,18,3.14,1,3,0.72,CDI,Rosso,0
339,34,130613,924386,14,6.62,2,1,0.82,CDI,Zouerate,0
340,68,338021,61527,55,5.26,1,3,0.31,CDI,Rosso,1
341,32,133902,234995,50,4.45,0,2,0.39,Indépendant,Zouerate,0
342,38,155633,261413,11,9.34,1,3,0.24,Indépendant,Atar,1
343,43,123714,311859,12,8.27,1,3,0.72,CDI,Kiffa,0
344,28,52714,604408,9,4.73,1,4,0.95,CDD,Zouerate,0
345,36,275240,495264,25,5.02,0,1,0.77,CDI,Atar,0
346,59,74182,487123,57,3.58,1,1,0.4,CDD,Kiffa,1
347,54,216143,262517,56,11.16,0,3,0.49,Sans emploi,Atar,0
348,68,487153,900419,19,4.98,2,2,0.24,CDI,Nouakchott,0
349,45,188576,14873,43,9.21,0,0,0.46,Sans emploi,Kiffa,0
350,22,490230,492551,58,6.1,0,4,0.08,CDI,Rosso,0
351,55,366445,307500,9,3.56,2,2,0.14,CDI,Rosso,0
352,26,50303,889058,54,4.59,1,3,0.36,Indépendant,Atar,0
353,27,415602,69650,41,4.04,0,0,0.56,Sans emploi,Atar,0
354,67,426069,794517,46,3.88,2,2,0.77,CDI,Nouakchott,0
355,63,265325,31141,10,5.55,2,0,0.05,CDD,Zouerate,1
356,54,114664,634393,36,9.12,0,2,0.81,CDI,Kiffa,0
357,68,319662,159515,40,9.9,2,1,0.19,CDI,Atar,0
358,47,271392,811198,35,14.37,1,3,0.45,CDI,Nouadhibou,0
359,30,94199,143822,9,11.76,2,0,0.34,CDI,Zouerate,0
360,23,413638,416518,41,14.16,0,1,0.68,Indépendant,Kiffa,0
361,52,316404,887785,53,14.1,2,2,0.9,Indépendant,Rosso,1
362,71,368629,637482,34,5.94,2,1,0.17,CDI,Nouakchott,0
363,53,153847,138197,6,8.61,1,2,0.33,CDI,Nouadhibou,1
364,47,283330,16880,13,11.23,1,1,0.36,CDI,Nouakchott,0
365,39,449546,938869,6,5.53,2,3,0.22,CDI,Nouakchott,0
366,52,8717,157203,58,13.33,2,3,0.81,CDI,Kiffa,1
367,30,170891,581408,47,13.8,2,2,0.12,CDI,Kiffa,0
368,72,485551,69435,34,6.75,1,3,0.58,CDI,Kiffa,0
369,31,227783,927563,18,8.43,2,0,0.26,CDI,Nouadhibou,1
370,63,311993,906788,32,13.44,1,2,0.92,Indépendant,Kiffa,0
371,59,88299,788044,31,5.77,0,4,0.21,Indépendant,Atar,0
372,38,179861,543286,37,14.23,1,0,0.81,CDI,Rosso,0
373,43,93003,668116,15,11.53,1,4,0.37,CDI,Nouakchott,1
374,68,498222,494477,48,8.83,2,3,0.05,Indépendant,Zouerate,0
375,27,95014,533326,25,14.87,1,3,0.31,CDI,Kiffa,0
376,70,365954,144775,30,14.31,1,2,0.44,Indépendant,Kiffa,0
